Season,Team,DRtg,ORtg,Net Rtg,W,Playoff ORtg,Playoff DRtg,Playoff Net Rtg,ORtg Difference,DRtg Difference,Net Rtg Difference
2003-04,MIA,101.7,102.2,0.5,6,97.3,97.1,0.2,-4.9,-4.6,-0.3
2005-06,MEM,101.6,105.9,4.3,0,99,115.5,-16.5,-6.9,13.9,-20.8
2007-08,HOU,101.6,106.8,5.2,2,103.8,106.7,-2.9,-3,5.1,-8.1
2012-13,SAS,101.6,108.3,6.7,15,108.7,101.1,7.6,0.4,-0.5,0.9
2015-16,ATL,101.4,105.1,3.7,4,103.5,104.5,-1,-1.6,3.1,-4.7
2014-15,GSW,101.4,111.6,10.2,16,108.7,100.5,8.2,-2.9,-0.9,-2
2006-07,CLE,101.3,105.5,4.2,12,102.5,100,2.5,-3,-1.3,-1.7
2003-04,LAL,101.3,105.5,4.2,13,100.8,99.8,1,-4.7,-1.5,-3.2
2004-05,DET,101.2,105.6,4.4,15,105,99.5,5.5,-0.6,-1.7,1.1
2011-12,ATL,101.2,104.9,3.7,2,91.8,97.1,-5.3,-13.1,-4.1,-9
2011-12,NYK,101,104.4,3.4,1,95.2,111.3,-16.1,-9.2,10.3,-19.5
2006-07,HOU,100.7,106,5.3,3,99.6,103.2,-3.6,-6.4,2.5,-8.9
2013-14,CHI,100.5,102.5,2,1,103,108.3,-5.3,0.5,7.8,-7.3
2010-11,BOS,100.3,106.2,5.9,5,105.1,103.6,1.5,-1.1,3.3,-4.4
2012-13,MEM,100.3,104.9,4.6,8,105,104.3,0.7,0.1,4,-3.9
2010-11,CHI,100.3,108.3,8,9,105.8,100.9,4.9,-2.5,0.6,-3.1
2004-05,CHI,100.3,101.4,1.1,2,106.3,108.2,-1.9,4.9,7.9,-3
2011-12,MIA,100.2,106.6,6.4,16,109.6,101.6,8,3,1.4,1.6
2006-07,SAS,99.9,109.2,9.3,16,107.6,103.1,4.5,-1.6,3.2,-4.8
2012-13,IND,99.8,104.3,4.5,11,104.5,104.4,0.1,0.2,4.6,-4.4
2003-04,MIN,99.7,105.9,6.2,10,101.9,101.9,0,-4,2.2,-6.2
2005-06,SAS,99.6,107.3,7.7,7,114,111.6,2.4,6.7,12,-5.3
2006-07,CHI,99.6,104.9,5.3,6,103.4,102.1,1.3,-1.5,2.5,-4
2013-14,IND,99.3,104.1,4.8,10,103.7,104.8,-1.1,-0.4,5.5,-5.9
2011-12,PHI,99.2,103.9,4.7,7,96.9,98.3,-1.4,-7,-0.9,-6.1
2003-04,HOU,99,100.9,1.9,1,94.5,100.5,-6,-6.4,1.5,-7.9
2015-16,SAS,99,110.3,11.3,6,111,101.1,9.9,0.7,2.1,-1.4
2007-08,BOS,98.9,110.2,11.3,16,109.4,103.3,6.1,-0.8,4.4,-5.2
2004-05,SAS,98.8,107.5,8.7,16,110,105.1,4.9,2.5,6.3,-3.8
2011-12,CHI,98.3,107.4,9.1,2,95.7,97.6,-1.9,-11.7,-0.7,-11
2011-12,BOS,98.2,101,2.8,11,100.4,99.2,1.2,-0.6,1,-1.6
2003-04,NJN,98,100.8,2.8,7,96.4,93.7,2.7,-4.4,-4.3,-0.1
2003-04,IND,97.2,103.8,6.6,10,98.9,93.7,5.2,-4.9,-3.5,-1.4
2003-04,DET,95.4,102,6.6,16,99.3,92,7.3,-2.7,-3.4,0.7
2003-04,SAS,94.1,102.2,8.1,6,102.4,98.8,3.6,0.2,4.7,-4.5
