Season,Team,DRtg,ORtg,Net Rtg,W,Playoff ORtg,Playoff DRtg,Playoff Net Rtg,ORtg Difference,DRtg Difference,Net Rtg Difference
2016-17,MIL,109.3,109.1,-0.2,2,103,103.7,-0.7,-6.1,-5.6,-0.5
2018-19,DET,109.2,109,-0.2,0,96.8,120.2,-23.4,-12.2,11,-23.2
2021-22,MIA,109.1,113.7,4.6,11,110.6,106.6,4,-3.1,-2.5,-0.6
2016-17,HOU,109,114.7,5.7,6,110.7,109.5,1.2,-4,0.5,-4.5
2021-22,MEM,109,114.6,5.6,6,110.2,107.8,2.4,-4.4,-1.2,-3.2
2019-20,PHI,109,111.3,2.3,0,105.5,117.9,-12.4,-5.8,8.9,-14.7
2018-19,DEN,108.9,113,4.1,7,114.4,112.5,1.9,1.4,3.6,-2.2
2007-08,ATL,108.9,106.9,-2,3,101.6,115.6,-14,-5.3,6.7,-12
2016-17,IND,108.8,108.6,-0.2,0,114.7,118.9,-4.2,6.1,10.1,-4
2019-20,OKC,108.8,110.8,2,3,102.4,108.7,-6.3,-8.4,-0.1,-8.3
2017-18,WAS,108.7,109.3,0.6,2,110.3,112.3,-2,1,3.6,-2.6
2008-09,CHI,108.7,108.4,-0.3,3,105.9,110.1,-4.2,-2.5,1.4,-3.9
2013-14,DAL,108.7,111.2,2.5,3,110,112.1,-2.1,-1.2,3.4,-4.6
2006-07,LAL,108.6,108.6,0,1,103.8,114.8,-11,-4.8,6.2,-11
2016-17,BOS,108.4,111.2,2.8,9,111.4,114.5,-3.1,0.2,6.1,-5.9
2008-09,DAL,108.4,110.5,2.1,5,113,114,-1,2.5,5.6,-3.1
2017-18,NOP,108.3,109.6,1.3,5,107.1,107.8,-0.7,-2.5,-0.5,-2
2020-21,UTA,108.3,117.6,9.3,6,121.4,122.3,-0.9,3.8,14,-10.2
2016-17,LAC,108.2,112.7,4.5,3,108.8,110,-1.2,-3.9,1.8,-5.7
2020-21,NYK,108.2,110.6,2.4,1,103.5,111,-7.5,-7.1,2.8,-9.9
2004-05,SAC,108.2,110.5,2.3,1,113,117.9,-4.9,2.5,9.7,-7.2
2018-19,ORL,108.1,108.9,0.8,1,96.2,111.2,-15,-12.7,3.1,-15.8
2015-16,HOU,108.1,108.3,0.2,1,92.7,111.8,-19.1,-15.6,3.7,-19.3
2007-08,PHO,108.1,113.3,5.2,1,104.1,106.1,-2,-9.2,-2,-7.2
2017-18,IND,108.1,109.5,1.4,3,110.9,104.6,6.3,1.4,-3.5,4.9
2019-20,IND,108,110,2,0,104.2,115.1,-10.9,-5.8,7.1,-12.9
2015-16,POR,108,108.8,0.8,5,108.1,110.7,-2.6,-0.7,2.7,-3.4
2008-09,DET,108,107.4,-0.6,0,93.6,112.2,-18.6,-13.8,4.2,-18
2016-17,TOR,107.8,112.3,4.5,4,103.8,109.9,-6.1,-8.5,2.1,-10.6
2015-16,MEM,107.8,105.4,-2.4,0,90.9,115.6,-24.7,-14.5,7.8,-22.3
2008-09,PHI,107.8,107.9,0.1,2,100.5,109.2,-8.7,-7.4,1.4,-8.8
2018-19,BOS,107.8,112.2,4.4,5,102.2,103.6,-1.4,-10,-4.2,-5.8
2008-09,POR,107.8,113.9,6.1,2,103.9,110.2,-6.3,-10,2.4,-12.4
2014-15,TOR,107.7,111,3.3,0,99.3,113.7,-14.4,-11.7,6,-17.7
